PASSENGERS,ORIGIN,DEST,YEAR,MONTH
0,MKE,ORF,2018,4
0,ORF,IND,2018,4
0,PVD,ALB,2018,4
0,PVD,DAY,2018,4
0,ROC,MDT,2018,4
0,SYR,FAY,2018,4
0,TYS,LEX,2018,4
0,A20,SCC,2018,4
0,AKN,ANC,2018,4
0,ANC,ANI,2018,4
0,ANC,BET,2018,4
0,ANC,BFI,2018,4
0,ANC,LUR,2018,4
0,ANC,OME,2018,4
0,ANC,OTZ,2018,4
0,ANC,SCC,2018,4
0,ANC,UTO,2018,4
0,BET,ANC,2018,4
0,BET,EDF,2018,4
0,BFI,FAI,2018,4
0,HNL,SEA,2018,4
0,OME,ANC,2018,4
0,OME,OTZ,2018,4
0,OTZ,ANC,2018,4
0,OTZ,ANC,2018,4
0,OTZ,OME,2018,4
0,OTZ,SCC,2018,4
0,SCC,A20,2018,4
0,SCC,ANC,2018,4
0,SCC,BTI,2018,4
0,SEA,ANC,2018,4
0,ANC,CVG,2018,4
0,ANC,JFK,2018,4
0,ANC,LAX,2018,4
0,CVG,ANC,2018,4
0,CVG,CID,2018,4
0,CVG,CVG,2018,4
0,CVG,DTW,2018,4
0,CVG,EWR,2018,4
0,CVG,HNL,2018,4
0,CVG,HSV,2018,4
0,CVG,JFK,2018,4
0,CVG,LAX,2018,4
0,CVG,MIA,2018,4
0,CVG,ORD,2018,4
0,CVG,PHX,2018,4
0,CVG,SFO,2018,4
0,HSV,CVG,2018,4
0,JFK,CVG,2018,4
0,LAX,ANC,2018,4
0,LAX,CVG,2018,4
0,LAX,SFO,2018,4
0,MIA,CVG,2018,4
0,ORD,ANC,2018,4
0,ORD,CVG,2018,4
0,ORD,ORD,2018,4
0,MIA,JFK,2018,4
0,MIA,SEA,2018,4
0,DEC,ORD,2018,4
0,DEC,STL,2018,4
0,ORD,DEC,2018,4
0,STL,DEC,2018,4
0,CPX,VQS,2018,4
0,SIG,CPX,2018,4
0,SIG,VQS,2018,4
0,SJU,STT,2018,4
0,SJU,STX,2018,4
0,VQS,SIG,2018,4
0,APF,MDW,2018,4
0,ASE,QMA,2018,4
0,AUS,MDW,2018,4
0,AUS,SAT,2018,4
0,BCT,PBI,2018,4
0,BDL,PBI,2018,4
0,BTV,PBI,2018,4
0,BTV,TEB,2018,4
0,DPA,MSN,2018,4
0,SDF,CVG,2018,4
0,TCL,OKC,2018,4
0,ATL,HRL,2018,4
0,ATL,ICT,2018,4
0,ATL,OMA,2018,4
0,BNA,SLC,2018,4
0,BWI,PHL,2018,4
0,BWI,TUL,2018,4
0,CLT,BOS,2018,4
0,DAL,DAL,2018,4
0,DEN,CRP,2018,4
0,EWR,MEM,2018,4
0,FLL,ONT,2018,4
0,GSP,DAL,2018,4
0,GSP,SAT,2018,4
0,IND,CLE,2018,4
0,IND,MSP,2018,4
0,IND,SFO,2018,4
0,LAS,GRR,2018,4
0,MAF,RDU,2018,4
0,MDW,IAD,2018,4
0,MSY,MSY,2018,4
0,OAK,SFO,2018,4
0,ONT,ATL,2018,4
0,ORF,OAK,2018,4
0,PBI,HOU,2018,4
0,PBI,HRL,2018,4
0,PDX,TUL,2018,4
0,PHX,JAX,2018,4
0,SEA,OKC,2018,4
0,SEA,SDF,2018,4
0,SFO,BOS,2018,4
0,SFO,IND,2018,4
0,SFO,RNO,2018,4
0,SJC,LBB,2018,4
0,SJC,TPA,2018,4
0,SLC,LGA,2018,4
0,SMF,MSP,2018,4
0,TUS,BUR,2018,4
0,LRD,DTW,2018,5
0,MIA,FLL,2018,4
0,MIA,GSO,2018,4
0,MIA,MIA,2018,4
0,MIA,RSW,2018,4
0,RSW,TPA,2018,4
0,TPA,MIA,2018,4
0,MCG,TLJ,2018,4
0,TLJ,MCG,2018,4
0,A43,KPR,2018,4
0,A43,KPY,2018,4
0,A43,KZB,2018,4
0,A43,SYB,2018,4
0,A43,UGI,2018,4
0,ADQ,KYK,2018,4
0,KPR,A43,2018,4
0,KPY,A43,2018,4
0,SYB,A43,2018,4
0,HYL,KTB,2018,4
0,KCC,WFB,2018,4
0,KTB,KCC,2018,4
0,KTB,WFB,2018,4
0,KTB,WMK,2018,4
0,WFB,PTD,2018,4
0,05A,FAI,2018,4
0,AKN,ANC,2018,4
0,ANC,AKN,2018,4
0,ANC,ANI,2018,4
0,ANC,BET,2018,4
0,ANC,BET,2018,4
0,ANC,DLG,2018,4
0,ANC,EMK,2018,4
0,ANC,GAL,2018,4
0,ANC,ILI,2018,4
0,ANC,KSM,2018,4
0,ANC,OME,2018,4
0,ANC,OTZ,2018,4
0,ANC,TOG,2018,4
0,ANC,UNK,2018,4
0,ANI,ANC,2018,4
0,ARC,FAI,2018,4
0,BET,ANC,2018,4
0,BET,ANC,2018,4
0,BRO,CMH,2018,4
0,BRW,ANC,2018,4
0,CIK,FAI,2018,4
0,CNO,YIP,2018,4
0,DLG,ANC,2018,4
0,EAA,FAI,2018,4
0,ELP,GSP,2018,4
0,ELP,YIP,2018,4
0,EMK,ANC,2018,4
0,FAI,05A,2018,4
0,FAI,AKP,2018,4
0,FAI,ANC,2018,4
0,FAI,ARC,2018,4
0,FAI,CIK,2018,4
0,PDT,LGD,2018,5
0,PDX,EUG,2018,5
0,PDX,LMT,2018,5
0,PDX,MFR,2018,5
0,PDX,ONP,2018,5
0,PDX,OR4,2018,5
0,PDX,OTH,2018,5
0,PDX,RBG,2018,5
0,PDX,RDM,2018,5
0,PHX,FLG,2018,5
0,PHX,HII,2018,5
0,PHX,NYL,2018,5
0,PIR,RAP,2018,5
0,PSC,GEG,2018,5
0,RAP,FSD,2018,5
0,RBG,EUG,2018,5
0,RBG,MFR,2018,5
0,RBG,PDX,2018,5
0,RDM,EUG,2018,5
0,RDM,PDX,2018,5
0,SBA,ONT,2018,5
0,SEA,BLI,2018,5
0,SEA,CLM,2018,5
0,SEA,ESD,2018,5
0,SEA,MVW,2018,5
0,SLC,IDA,2018,5
0,SLE,PDX,2018,5
0,TUL,AFW,2018,5
0,YKM,GEG,2018,5
0,YKM,PSC,2018,5
0,ADQ,FAI,2018,1
0,ADQ,HOM,2018,1
0,ADQ,OME,2018,1
0,ADQ,VDZ,2018,1
0,ANC,ABL,2018,1
0,ANC,AIN,2018,1
0,ANC,AKI,2018,1
0,ANC,AKP,2018,1
0,ANC,ANV,2018,1
0,ANC,ATK,2018,1
0,ANC,ATT,2018,1
0,ANC,AUK,2018,1
0,ANC,BKC,2018,1
0,ANC,BRW,2018,1
0,ANC,BTI,2018,1
0,ANC,CHU,2018,1
0,ANC,CKD,2018,1
0,ANC,CYF,2018,1
0,ANC,DRG,2018,1
0,ANC,EEK,2018,1
0,ANC,ELI,2018,1
0,ANC,EMK,2018,1
0,ANC,FYU,2018,1
0,ANC,GAM,2018,1
0,ANC,GLV,2018,1
