Name	Id	Inertia	Load	PV	Wind	Lat	Lon
D_233	95218000	1	476.0888577	2.97754075595	250.401786445	12.6484294818763	48.1118345665565
A_st.Pet	117726000	3	588.63	0	0	12.8434354354098	48.1915609021706
Lx-2	54780000	4	273.9	0	0	6.07323840963596	49.7000857285852
Lx-1	52738000	5	263.69	0	0	6.04610129247518	49.8668740962781
D_Eichst	353740000	6	1768.7	19.0490793854	113.09351646	7.68168448371151	48.1393143399259
D-98	71567000	7	357.8364134	8.39898509342	31.1161295289	13.8330297731601	50.9513516355843
D-99	71567000	8	357.8364134	67.4664332066	63.1564567729	12.3274336262201	51.0971467831004
D_Connef	79452000	9	397.2604275	109.0641691	55.0916854378	8.2696886821618	53.3192902985459
D-159	50000000	10	0.0	13.700001994	53.8973546188	9.25760980202561	49.8513025825603
D-92	350000000	11	0.0	23.6568098948	50.1342734259	12.4114886169372	51.1782440649779
D-93	144760000	12	723.801899	100.783401766	152.935663388	6.44084505818826	51.8182541187349
D-90	72512000	13	362.5622272	68.0254816751	60.464516865	9.47429198680523	51.5486266350934
D-91	420000000	14	0.0	47.6782166169	30.3410850612	8.17290654119557	51.6705464146237
D-96	79548000	15	397.7378607	27.2348305769	77.230999144	9.89933717532654	51.4238736836274
D-97	138469000	16	692.3458099	286.588021551	64.9849651035	8.73521697991134	51.5211470153892
D-94	250000000	17	0.0	26.9751934423	36.8121263256	13.6735327040226	51.0126218212894
D-95	750000000	18	0.0	54.65914102	82.3723668278	7.19351660407316	51.729552325345
D-78	144760000	19	723.801899	25.1516568866	96.8628810336	8.53291865327676	51.9012585945813
D-79	116062000	20	580.3100109	331.041213505	92.6175376738	11.4879388153858	51.5216978408213
D-70	116062000	21	580.3100109	279.228137415	261.212634793	12.1852476498711	51.6664343685843
D-71	138469000	22	692.3458099	16.8554218081	22.1520193532	8.85758119167259	52.0045643283002
PL-68	36074000	23	180.37	0	0	14.8254255092179	50.9708304798389
D-73	138469000	24	692.3458099	15.627945823	57.725621305	8.32043571917731	52.0553396285308
D-74	79329000	25	396.6465235	55.7059758498	31.6707586418	9.48890202093654	51.9118978002019
D-75	250000000	26	0.0	29.3997623436	50.9667695148	9.94592451957939	51.7739932863354
D-76	138469000	27	692.3458099	132.822624171	144.349408106	7.80475391074691	52.0114449766218
D-77	500000000	28	0.0	11.5317557107	41.6960665526	14.4508201765375	51.2697469045236
E-204	81368000	29	406.8386555	1.15731871683	141.407222194	10.2611091444558	48.435399811663
D-85	1000000000	31	0.0	263.900155345	116.626791168	11.8616499031604	51.3205442716025
D-84	138469000	32	692.3458099	120.132444904	54.4216006628	8.84591203002465	51.6572974361669
D-87	76000000	33	379.9999952	216.852249304	138.140213654	11.0643531071345	51.4015367839874
D-86	138469000	34	692.3458099	44.1742201391	59.69665385	8.27428122889173	51.7171655513848
D-81	138469000	35	692.3458099	83.6390645928	69.6418609426	8.99075169560045	51.7544696868208
D-80	162000000	36	810.0000381	78.0784105576	79.0804994132	14.8441195903981	51.1355098016602
D-83	71567000	37	357.8364134	30.6112181651	31.4127787656	14.1833695964648	51.0907466614102
D-82	71567000	38	357.8364134	245.970830155	149.633300005	13.448556331026	51.2029288961646
D-89	71567000	40	357.8364134	66.4383806377	86.482367426	12.7042866444929	51.2162309900255
D-88	633000000	41	0.0	78.3330759173	52.3119108397	7.94795334414334	51.7461842491832
F-41	59470000	42	297.35	0	0	6.25396888735041	48.9364878731824
D-129	325000000	43	0.0	52.7162818663	35.5073116196	11.7910769977964	50.5000188356853
D-121	71567000	44	357.8364134	0.167383088878	8.25425120138	12.9125470531044	50.5317594664947
D-120	138469000	45	692.3458099	12.5123002082	12.4426953594	8.0922983548821	51.0817342909425
D-123	138469000	46	692.3458099	10.5313241134	49.7984024093	7.10018309258041	51.1183994033669
