Site	Round	Plant_id	Plant_Family	Plant_Gen_Sp	Insect_id	Insect_Order	Insect_Family	Insect_Gen_Sp	Number_of_visits_per6min
BAT1CA	3	31	Asteracea	Urospermum_picrioides	125	Coleoptera	Oedemeridae	Oedemera_flavipes	1
BAT1CA	4	32	Asteracea	Sonchus_tenerrinus	11	Hymenoptera	Megachilidae	Anthidium_sticticum	1
BAT1CA	4	32	Asteracea	Sonchus_tenerrinus	105	Coleoptera	Oedemeridae	Oedemera_lurida	1
BAT1CA	1	24	Labiada	Lavandula_stoechas	11	Hymenoptera	Megachilidae	Anthidium_sticticum	2
BAT1CA	4	32	Asteracea	Sonchus_tenerrinus	114	Coleoptera	Dasytidae	Psilothrix	2
BAT1CA	1	8	Asteracea	Aetheorrina_bulbosa	114	Coleoptera	Dasytidae	Psilothrix	1
BAT1CA	1	8	Asteracea	Aetheorrina_bulbosa	115	Coleoptera	Chrysomelidae	Criptocephalus	1
BAT1CA	1	24	Labiada	Lavandula_stoechas	181	Hymenoptera	Megachilidae	Megaquile	3
BAT1CA	1	24	Labiada	Lavandula_stoechas	182	Hymenoptera	Megachilidae	Megaquile	2
BAT1CA	1	24	Labiada	Lavandula_stoechas	184	Hymenoptera	Anthophoridae	Amegilla_femorata?	3
BAT1CA	1	8	Asteracea	Aetheorrina_bulbosa	185	Hymenoptera	Andrenidae	Andrena	1
BAT1CA	1	24	Labiada	Lavandula_stoechas	186	Hymenoptera	Andrenidae	Andrena	1
BAT1CA	1	8	Asteracea	Aetheorrina_bulbosa	187	Hymenoptera	Andrenidae	Andrena	1
BAT1CA	4	32	Asteracea	Sonchus_tenerrinus	115	Coleoptera	Chrysomelidae	Criptocephalus	1
BAT1CA	2	24	Labiada	Lavandula_stoechas	11	Hymenoptera	Megachilidae	Anthidium_sticticum	2
BAT1CA	2	24	Labiada	Lavandula_stoechas	13	Hymenoptera	Apoidea	Apis_melifera	1
BAT1CA	2	21	Euforbeacea	Euphorbea_segatalis	45	Hymenoptera	Vespidae	Polistes_gallicum	1
BAT1CA	5	31	Asteracea	Urospermum_picrioides	105	Coleoptera	Oedemeridae	Oedemera_lurida	1
BAT1CA	2	24	Labiada	Lavandula_stoechas	79	Lepidoptera	Adelidae	L2	1
BAT1CA	2	8	Asteracea	Aetheorrina_bulbosa	112	Coleoptera	Ptinidae?_Bruchidae?	C7	1
BAT1CA	2	8	Asteracea	Aetheorrina_bulbosa	114	Coleoptera	Dasytidae	Psilothrix	1
BAT1CA	2	24	Labiada	Lavandula_stoechas	175	Hymenoptera	Halictidae	Lasioglossum	1
BAT1CA	2	24	Labiada	Lavandula_stoechas	184	Hymenoptera	Anthophoridae	Amegilla_femorata?	1
BAT1CA	2	8	Asteracea	Aetheorrina_bulbosa	185	Hymenoptera	Andrenidae	Andrena	1
BAT1CA	2	24	Labiada	Lavandula_stoechas	190	Hymenoptera	Anthophoridae	Anthophora	1
BAT1CA	3	24	Labiada	Lavandula_stoechas	11	Hymenoptera	Megachilidae	Anthidium_sticticum	3
BAT1CA	5	32	Asteracea	Sonchus_tenerrinus	105	Coleoptera	Oedemeridae	Oedemera_lurida	2
BAT1CA	3	8	Asteracea	Aetheorrina_bulbosa	105	Coleoptera	Oedemeridae	Oedemera_lurida	1
BAT1CA	5	32	Asteracea	Sonchus_tenerrinus	115	Coleoptera	Chrysomelidae	Criptocephalus	1
BAT1CA	3	24	Labiada	Lavandula_stoechas	182	Hymenoptera	Megachilidae	Megaquile	1
BAT1CA	3	24	Labiada	Lavandula_stoechas	184	Hymenoptera	Anthophoridae	Amegilla_femorata?	1
BAT1CA	6	32	Asteracea	Sonchus_tenerrinus	248	Hymenoptera	Andrenidae	Andrena	1
BAT2CA	2	32	Asteracea	Sonchus_tenerrinus	114	Coleoptera	Dasytidae	Psilothrix	3
BAT1CA	4	24	Labiada	Lavandula_stoechas	11	Hymenoptera	Megachilidae	Anthidium_sticticum	5
BAT2CA	2	32	Asteracea	Sonchus_tenerrinus	115	Coleoptera	Chrysomelidae	Criptocephalus	1
BAT2CA	2	32	Asteracea	Sonchus_tenerrinus	119	Coleoptera	Mordelidae	Mordella_bipunctata	2
BAT1CA	4	13	Convolvulacea	Convolvulus_althaeoides	112	Coleoptera	Ptinidae?_Bruchidae?	C7	1
BAT2CA	3	31	Asteracea	Urospermum_picrioides	1	Hymenoptera	Proctotupidae	Helorus_coruscus	1
BAT2CA	3	32	Asteracea	Sonchus_tenerrinus	114	Coleoptera	Dasytidae	Psilothrix	2
BAT2CA	3	31	Asteracea	Urospermum_picrioides	125	Coleoptera	Oedemeridae	Oedemera_flavipes	2
BAT1CA	4	8	Asteracea	Aetheorrina_bulbosa	125	Coleoptera	Oedemeridae	Oedemera_flavipes	2
BAT1CA	4	24	Labiada	Lavandula_stoechas	210	Hymenoptera	Ichneumonidae	H81	1
BAT2CA	3	32	Asteracea	Sonchus_tenerrinus	187	Hymenoptera	Andrenidae	Andrena	1
BAT1CA	5	13	Convolvulacea	Convolvulus_althaeoides	105	Coleoptera	Oedemeridae	Oedemera_lurida	1
