Name	Id	Inertia	Load	PV	Wind	Lat	Lon
D_233	95218000	1	476.0888577	2.38203260476	200.321429156	12.6484294818763	48.1118345665565
A_st.Pet	117726000	3	588.63	0	0	12.8434354354098	48.1915609021706
Lx-2	54780000	4	273.9	0	0	6.07323840963596	49.7000857285852
Lx-1	52738000	5	263.69	0	0	6.04610129247518	49.8668740962781
D_Eichst	353740000	6	1768.7	15.2392635084	90.4748131684	7.68168448371151	48.1393143399259
D-98	71567000	7	357.8364134	6.71918807473	24.8929036231	13.8330297731601	50.9513516355843
D-99	71567000	8	357.8364134	53.9731465653	50.5251654183	12.3274336262201	51.0971467831004
D_Connef	79452000	9	397.2604275	87.2513352798	44.0733483502	8.2696886821618	53.3192902985459
D-159	50000000	10	0.0	10.9600015952	43.117883695	9.25760980202561	49.8513025825603
D-92	350000000	11	0.0	18.9254479158	40.1074187407	12.4114886169372	51.1782440649779
D-93	144760000	12	723.801899	80.6267214124	122.348530711	6.44084505818826	51.8182541187349
D-90	72512000	13	362.5622272	54.4203853401	48.371613492	9.47429198680523	51.5486266350934
D-91	420000000	14	0.0	38.1425732935	24.272868049	8.17290654119557	51.6705464146237
D-96	79548000	15	397.7378607	21.7878644615	61.7847993152	9.89933717532654	51.4238736836274
D-97	138469000	16	692.3458099	229.270417241	51.9879720828	8.73521697991134	51.5211470153892
D-94	250000000	17	0.0	21.5801547538	29.4497010605	13.6735327040226	51.0126218212894
D-95	750000000	18	0.0	43.727312816	65.8978934622	7.19351660407316	51.729552325345
D-78	144760000	19	723.801899	20.1213255092	77.4903048269	8.53291865327676	51.9012585945813
D-79	116062000	20	580.3100109	264.832970804	74.094030139	11.4879388153858	51.5216978408213
D-70	116062000	21	580.3100109	223.382509932	208.970107834	12.1852476498711	51.6664343685843
D-71	138469000	22	692.3458099	13.4843374465	17.7216154826	8.85758119167259	52.0045643283002
PL-68	36074000	23	180.37	0	0	14.8254255092179	50.9708304798389
D-73	138469000	24	692.3458099	12.5023566584	46.180497044	8.32043571917731	52.0553396285308
D-74	79329000	25	396.6465235	44.5647806798	25.3366069135	9.48890202093654	51.9118978002019
D-75	250000000	26	0.0	23.5198098749	40.7734156119	9.94592451957939	51.7739932863354
D-76	138469000	27	692.3458099	106.258099337	115.479526485	7.80475391074691	52.0114449766218
D-77	500000000	28	0.0	9.22540456854	33.3568532421	14.4508201765375	51.2697469045236
E-204	81368000	29	406.8386555	0.925854973465	113.125777755	10.2611091444558	48.435399811663
D-85	1000000000	31	0.0	211.120124276	93.3014329346	11.8616499031604	51.3205442716025
D-84	138469000	32	692.3458099	96.1059559234	43.5372805303	8.84591203002465	51.6572974361669
D-87	76000000	33	379.9999952	173.481799443	110.512170923	11.0643531071345	51.4015367839874
D-86	138469000	34	692.3458099	35.3393761113	47.75732308	8.27428122889173	51.7171655513848
D-81	138469000	35	692.3458099	66.9112516742	55.7134887541	8.99075169560045	51.7544696868208
D-80	162000000	36	810.0000381	62.4627284461	63.2643995305	14.8441195903981	51.1355098016602
D-83	71567000	37	357.8364134	24.488974532	25.1302230125	14.1833695964648	51.0907466614102
D-82	71567000	38	357.8364134	196.776664124	119.706640004	13.448556331026	51.2029288961646
D-89	71567000	40	357.8364134	53.1507045101	69.1858939408	12.7042866444929	51.2162309900255
D-88	633000000	41	0.0	62.6664607338	41.8495286717	7.94795334414334	51.7461842491832
F-41	59470000	42	297.35	0	0	6.25396888735041	48.9364878731824
D-129	325000000	43	0.0	42.173025493	28.4058492957	11.7910769977964	50.5000188356853
D-121	71567000	44	357.8364134	0.133906471103	6.60340096111	12.9125470531044	50.5317594664947
D-120	138469000	45	692.3458099	10.0098401666	9.95415628751	8.0922983548821	51.0817342909425
D-123	138469000	46	692.3458099	8.42505929076	39.8387219274	7.10018309258041	51.1183994033669
D-122	250000000	47	0.0	32.3178627683	6.88756551859	13.0202836639038	50.4893851822494
D-125	71567000	48	357.8364134	3.97741993374	26.7804103494	12.3965770169614	50.5156458333379
D_Gronau	158400000	49	792.0000076	224.023758412	168.386724508	7.21496630725145	52.24989969802
D-127	138469000	50	692.3458099	15.7735635861	33.8359113763	7.60959354507901	51.0243412781972
D-126	1650000000	51	0.0	16.772337925	60.4231958912	6.71603511675814	51.1442224747688
D-69	79548000	52	397.7378607	3.62387149519	11.219417762	9.83500112102686	51.9388100619675
D-68	2053276000	53	1766.38	37.4217764144	66.8639645706	14.3906027432708	51.4503899746694
D-63	79329000	54	396.6465235	52.3799689141	48.1121973252	8.40902301526132	52.3576050983192
D-62	2225000000	55	0.0	87.3551901337	118.469662404	14.3273342117556	51.7043484456546
D-61	138469000	56	692.3458099	15.6975506718	27.7310137136	8.93418056932246	52.316387398773
D-60	79329000	57	396.6465235	63.22771888	38.5756701307	9.72223694059509	52.2437326500882
